subject,trial,movement,data_leg,variable,net,positive,negative
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,hip_flexion_moment,-8.173272186,20.36418794,-28.53746013
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,hip_adduction_moment,-41.8266308,2.703936126,-44.53056693
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,hip_rotation_moment,0.846126725,3.480742392,-2.634615667
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,lumbar_extension_moment,36.25500743,37.04939008,-0.794382657
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,lumbar_bending_moment,13.4400914,16.81055808,-3.370466682
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,lumbar_rotation_moment,1.153834901,7.712481722,-6.558646821
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,knee_angle_moment,3.503408377,11.91120235,-8.407793973
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,arm_flex_moment,3.948484389,3.970474303,-0.021989913
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,arm_add_moment,9.115814113,9.115814113,0
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,arm_rot_moment,-1.393421783,0.000871899,-1.394293682
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,ankle_angle_moment,-29.91146506,1.020317623,-30.93178268
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,elbow_flex_moment,4.799388108,4.799388108,0
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,subtalar_angle_moment,9.316742838,9.744915729,-0.428172891
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,pro_sup_moment,-0.026047683,0.003083976,-0.029131659
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,mtp_angle_moment,-0.07949663,0,-0.07949663
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,wrist_flex_moment,0.339230855,0.339230855,0
FAILTCRT01,FAILTCRT01_SDP01,sdp,pivot,wrist_dev_moment,-0.393504842,0,-0.393504842
FAILTCRT01,FAILTCRT01_SDP01,sdp,nonpivot,hip_flexion_moment,-25.20690689,9.609967362,-34.81687425
FAILTCRT01,FAILTCRT01_SDP01,sdp,nonpivot,hip_adduction_moment,-53.44109133,5.80545426,-59.24654559
